gene,mean_expression,variance,rank
RPL18A,2.8944985729684563,0.8467946036150629,341
CAMK2N1,0.7438695400030031,0.8452122842139012,342
HMGN1,1.14270201820968,0.8429776810989451,343
UBA52,2.1757641777644134,0.8428184276858612,344
KLF2,0.47249408192123565,0.8428127582105235,345
NDUFB4,1.1330495477250304,0.8425029416704226,346
NDUFB10,1.152091866415579,0.8411104264724805,347
RPS19,3.1314599565503496,0.8406699846251957,348
GUK1,1.2237248662446294,0.8405625322535974,349
RPS4X,3.001584756822961,0.8398277787930617,350
ATP5PO,0.7570567694410314,0.8396265823782467,351
CTSH,0.7028398369372634,0.8393440061728583,352
SPCS1,1.0836408492064202,0.838076828559301,353
SOX4,0.6738940094374283,0.8370590975810861,354
CYCS,0.8772654081948914,0.8362240094417406,355
IGFBP2,0.4936733609715063,0.8338442561363246,356
DYNLRB1,1.1175973802901609,0.8321790983840898,357
ISCU,1.0268638949504914,0.8319932618116335,358
MZT2B,1.2311884486496874,0.831853445331747,359
PARK7,1.1437111059944167,0.8302418090805586,360
POMP,1.13171587344846,0.8301985851949771,361
RPS11,1.7667342278423699,0.8294215100277964,362
NDUFS6,1.1363415001408181,0.8282887573011872,363
SEC61B,1.1869407252757596,0.8257180197382374,364
HSBP1,1.0493081669315452,0.825519789942494,365
RPS26,2.680561361740907,0.8253571946626073,366
NDUFB3,1.0162490841931486,0.8250419222160135,367
NDUFA11,1.1384214886667916,0.8241432471141983,368
TAGLN2,0.8602455143048884,0.8239657204619381,369
ATP5PD,0.7653416066082646,0.8236652165603116,370
ATP5G2,0.44442307098597583,0.8232468666560658,371
MPC2,0.9105409803380349,0.8231813024177944,372
RPL30,3.0978683191593843,0.8228930005554851,373
NDUFB8,0.8142378373919078,0.8226805545284573,374
WSB1,0.7502967913621381,0.8224421136947985,375
IER3,0.5678922228855303,0.8224383521585372,376
ATP5G3,0.4203434159372702,0.8214495585325183,377
CALB1,0.29900859762572096,0.8209502806214596,378
C19orf70,0.8903046285710596,0.8197901886811562,379
RPL22,2.146656273377254,0.8190745761805207,380
SAP18,1.141398578896654,0.8181993891308077,381
WDR83OS,1.133874383562491,0.8181053328238275,382
USMG5,0.42377679791971445,0.8168153943423356,383
ALDOA,0.5205124205711893,0.8166971173760614,384
RPS27,3.3520655741077032,0.8164157006094239,385
ANXA4,0.7970718801808424,0.8160662186213539,386
ATP6AP2,0.77015051263188,0.8157274179218318,387
MRPL41,0.9726296770891272,0.8137318109816226,388
BLOC1S1,1.096281808907562,0.8132522293753155,389
NAT8,0.3998199628168175,0.8128242478488191,390
RAC1,1.0590387207906857,0.8126925593016392,391
ATP5F1C,0.7735662998611287,0.8113148593838566,392
UQCR11.1,0.43121086234126427,0.8102214351613881,393
ARPC2,0.868450471752434,0.8096050958162635,394
BST2,0.575668797918775,0.8095801327601093,395
EEF2,1.142646426271786,0.8086104174452273,396
RHOA,1.0044281544279314,0.8083660832285937,397
NDUFB9,0.9524268834792223,0.8080370364929716,398
PCBP2,1.068199399297805,0.8072967661331083,399
ATP5D,0.42775312300140456,0.8063760826306581,400
CAPG,0.7672010169736886,0.8060990583150686,401
AIF1,0.2951976692316174,0.8059758993801157,402
NDUFA2,1.064400242899362,0.8057058787279678,403
NEDD8,1.1793810318793776,0.8056676382720716,404
ADI1,0.772614798850204,0.8054371008834348,405
CLDN10,0.44365822593686616,0.8052397768644678,406
NDUFS8,0.9730797336422758,0.8041957753488739,407
CTSC,0.731403142863113,0.8036945632860536,408
AIF1L,0.7195689187921572,0.8036432703593044,409
TBCA,1.0427373868176595,0.8026696638142545,410
CIB1,0.996147965594887,0.8018269098872836,411
EZR,0.7849322957991502,0.8017243500625892,412
RPL21,2.511686246298497,0.8010403979307839,413
TCEB2,0.43740391632340964,0.8008058550115497,414
CUTA,1.048855979871524,0.8004299927618133,415
ARHGDIB,0.4987652243711374,0.7985940721174282,416
ASAH1,0.7829823786512404,0.7959371735059134,417
CLTA,1.0333200504676008,0.7959224240093732,418
SELENOP,0.6346735984299802,0.7953515662541353,419
PPIA,2.327202193260336,0.7947836332535134,420
TMEM258,1.1377162820816005,0.7935216240713978,421
ID3,0.4479125274447802,0.793059759660657,422
MYL6,2.558296083607005,0.7927304791143381,423
RPS3A,2.9494789253633873,0.7925815527088815,424
LAMTOR4,1.1486315308367492,0.7923082190580302,425
HMGN2,0.8978338338535581,0.7893608091180087,426
CCNI,1.063671380284041,0.7891546935944986,427
TRMT112,1.1213916407561713,0.7889917772143833,428
AES,0.8133395537104278,0.7883799844054222,429
KCNJ16,0.6414937328283673,0.7879589812533782,430
YWHAB,1.0559961355796095,0.7878140365786297,431
ST13,0.9710162302032825,0.786960381358857,432
SRGN,0.4152950938573391,0.7862215949259566,433
DNPH1,0.7940988891353371,0.7858659133508804,434
GABARAPL2,1.009689444486853,0.7851819150287562,435
RPS8,2.987494316376056,0.7850271734677907,436
CANX,0.8905325651327104,0.7841572541195799,437
PFDN5,2.2028611535016682,0.783882301125983,438
RABAC1,0.9880552496520282,0.7837914635477802,439
RPL39,3.3133478721665197,0.7819776523153266,440
