gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
FTCD,0.21685538961938905,0.11943342088304824,0.0974219687363408,0.1253565316600114,0.08150517215531458,0.04385135950469682,4.5322128357445e-76,3.13286601549159e-75,0.0002354234274249,7.493238762166876e-05,UP_in_CKD
VEGFB,0.5368499659008882,0.436348637137413,0.10050132876347517,0.41324396273055714,0.31527659787117085,0.09796736485938629,1.326845701147862e-46,5.4903960047497736e-46,0.000168015256058,7.487214942586893e-05,UP_in_CKD
SVIP,0.43067331202836623,0.33524547786265235,0.09542783416571388,0.3566267351207454,0.26550397281495175,0.09112276230579364,1.4875946848752548e-53,7.016956060732334e-53,0.0001646777916083,7.468327631238957e-05,UP_in_CKD
GLUD1,0.3671715292584286,0.2711695320722412,0.0960019971861874,0.303146986119034,0.2178301933936335,0.08531679272540052,2.2581650585599722e-59,1.1947963272804086e-58,0.0001573387197824,7.464474602111873e-05,UP_in_CKD
TMEM106B,0.4093773429668175,0.31504461924548,0.0943327237213375,0.3402738163148888,0.24871320773574535,0.09156060857914344,2.787494201775065e-53,1.3025673840070398e-52,0.0001663443263879,7.454568864452385e-05,UP_in_CKD
DYNLRB1,1.152281833538837,1.0432593851098702,0.1090224484289668,0.6756512644989542,0.5950227374943781,0.08062852700457612,8.21367867305681e-33,2.4542864560926722e-32,0.0002671528778971,7.423180772044108e-05,UP_in_CKD
GLUL,0.46678274288952615,0.3861556561026276,0.08062708678689856,0.3611903403688914,0.2815951226825246,0.07959521768636679,4.920264941199684e-31,1.4071301071114443e-30,0.0003838144237183,7.352885524204842e-05,UP_in_CKD
DUSP23,0.5243232271899493,0.6732224177255496,-0.1488991905356003,0.4051625784369652,0.41617110589175954,-0.011008527454794359,3.722798996424851e-76,2.585277080850591e-75,0.0005991000852302,7.32465135451298e-05,UP_in_AKI
MCRIP1,0.2607837491840324,0.38271465901882357,-0.12193090983479116,0.2303669899220384,0.283594023287192,-0.05322703336515361,1.5980223159637282e-92,1.4571632060459528e-91,0.0001222530508554,7.207192708590787e-05,UP_in_AKI
NFE2L1,0.4068940032468448,0.3063322460026186,0.10056175724422622,0.3393706027761932,0.24441557143571035,0.09495503134048283,1.6185489592670266e-61,8.909443812479045e-61,0.0001255249680002,7.19772163623158e-05,UP_in_CKD
CPQ,0.41139209888262235,0.3102858417785641,0.10110625710405824,0.34269823160296636,0.24551496676827744,0.09718326483468892,1.7844914694230318e-61,9.786973324075129e-61,0.0001217935670302,7.181460937840005e-05,UP_in_CKD
SRI,0.8438989992535163,0.736590258597087,0.10730874065642926,0.5574729035938392,0.4725401029433811,0.08493280065045805,4.537178807806905e-38,1.5609560118601737e-37,0.0002138508142786,7.173766937711908e-05,UP_in_CKD
CASC4,0.3287458846772776,0.2368076258380505,0.0919382588392271,0.2846073397984408,0.1924941282294738,0.09211321156896699,1.5082765665596414e-62,8.489361537859145e-62,0.0001383241235044,7.154051235646147e-05,UP_in_CKD
TNRC6B,0.4568617028878754,0.36209968415361443,0.09476201873426099,0.35705457311275907,0.26585378042076857,0.0912007926919905,1.485018109561125e-45,6.061298406371939e-45,0.00018590926486,7.10440138403593e-05,UP_in_CKD
PARD6B,0.35348374900494145,0.25260310715580236,0.10088064184913909,0.2981080053242061,0.20568687222027884,0.09242113310392727,4.989807383920643e-70,3.191774446004676e-69,0.0001111938804292,7.101090022162564e-05,UP_in_CKD
EID1,0.9035631837987558,0.8115301675549116,0.09203301624384419,0.5849496101920517,0.5093698465843786,0.07557976360767316,2.0718198841154218e-27,5.4283490413504504e-27,0.0003879262676543,7.087307424601115e-05,UP_in_CKD
GLTP,0.3497153662509443,0.2504310606773427,0.09928430557360157,0.2926887240920327,0.20518714706911198,0.08750157702292075,3.4770289909183325e-68,2.1641259279574682e-67,0.0001222235100556,7.078598463985344e-05,UP_in_CKD
RPS21,2.532381324370407,2.4181946281687288,0.1141866962016782,0.9308803955124548,0.911398730698116,0.019481664814338773,3.0776060964478913e-34,9.567687346470129e-34,0.0009604819224646,7.05500335932766e-05,UP_in_CKD
UBL3,0.3147127537549492,0.22076261945413547,0.09395013430081375,0.2703936109526526,0.1832991854480036,0.08709442550464896,4.02797284099656e-68,2.501846485091031e-67,0.0001291831608383,7.040106707365405e-05,UP_in_CKD
EEF1B2,1.5550378867861419,1.7484689761791903,-0.19343108939304843,0.7771439437155353,0.7883164259657188,-0.011172482250183524,1.4318791200533992e-78,1.0580387586601473e-77,0.0004228668091637,7.034480976084635e-05,UP_in_AKI
