gene,importance
LTC4S,0.000727707057763493
ZEB2,0.0007262827111480511
TNFAIP2,0.0007211123387004668
TPM2,0.0007176077276258103
AGMAT,0.0007078755590383625
TAGLN,0.0007076005408768102
GPR110,0.0007061189745538717
AIF1,0.0007027687656639955
FCER1G,0.0007014620298190169
SERPINE2,0.0007000461957137017
MNDA,0.0006997951631458658
SLA,0.000696347338077569
GIMAP4,0.00068860632440043
RNASE1,0.0006862198402069115
ITIH5,0.0006855068876079325
IRX3,0.0006777754623869424
SLC4A1,0.0006740199809172724
TCF4,0.0006673689133367307
COL7A1,0.0006649620707903297
SLC6A6,0.0006641023579601086
CD68,0.000663366096932451
MT1A,0.00065801608517107
NOSTRIN,0.0006572812449039693
PLAC8,0.000656495352527212
SLC11A1,0.0006556090587591225
CFD,0.0006554381975856517
EFNB2,0.0006529018429718382
ANGPTL3,0.000647720704945148
SPOCK2,0.00064712190649125
AC073218.2,0.0006468778334718099
PTP4A3,0.0006439219747681624
ENPEP,0.0006432982943440146
C15orf48,0.0006426781124984442
CRHBP,0.0006415299484328284
SLC13A1,0.0006397843864028392
CD2,0.0006337495645153653
CAV1,0.0006330155638319263
TFPI2,0.0006319697232280793
CD83,0.0006286883323750502
MT3,0.0006282871395183647
LYN,0.0006241261014032551
LMO2,0.0006235413578323897
AFP,0.0006232776068824628
TGM2,0.0006215799073149722
ALOX5AP,0.0006212255948694648
CD69,0.0006198322855100532
ASPDH,0.0006144886540033358
SLCO2A1,0.0006114697097760294
FILIP1L,0.000611321542910879
IL2RG,0.0006106219910870743
HOPX,0.0006100861727356504
GDA,0.000606707593241499
ACY1,0.0006038420740590411
ACAP1,0.0006027536228156577
CALCRL,0.0005998801019561321
CCL5,0.0005997390081327207
HTRA1,0.000595573102861933
PTRF,0.0005950842152222387
ITGA8,0.0005883792824872587
CDKN2D,0.00058559100243228
ABI3BP,0.0005833916945277895
REG1A,0.0005821775674788614
TBC1D10C,0.0005814005197184481
FCGBP,0.000580077805224861
COL6A2,0.0005792868337802932
SLC34A2,0.0005786268740282866
PTN,0.0005773080192205865
SCTR,0.0005770652094627816
ICAM2,0.0005738512238244455
SPI1,0.0005724879568367605
TRBC1,0.000569399508331591
TGFBR3,0.0005657387099169153
GZMA,0.0005640579817540928
TFF1,0.0005639611639444178
C1orf162,0.000563136557106844
KIT,0.0005625065956780941
CTD-2228K2.5,0.0005568067743199616
PRDM1,0.0005553707872632154
VWF,0.0005477459513162448
BGN,0.0005476547125997357
